Timestamp,Motor Name,Voltage,Horsepower,Speed
31-07-2024 00:00,Agri-Fusion,227.7440675,2.837152108,49.62303694
31-07-2024 00:02,Agri-Fusion,228.5759468,2.604025478,48.95216797
31-07-2024 00:04,Agri-Fusion,228.0138169,2.790330478,49.04631198
31-07-2024 00:06,Agri-Fusion,227.7244159,2.883508156,48.50104117
31-07-2024 00:08,Agri-Fusion,227.118274,2.617590173,49.21008603
31-07-2024 00:10,Agri-Fusion,228.2294706,2.951808593,48.60580962
31-07-2024 00:12,Agri-Fusion,227.1879361,2.808032567,49.15456803
31-07-2024 00:14,Agri-Fusion,229.458865,2.612264419,48.33935623
31-07-2024 00:16,Agri-Fusion,229.8183138,2.689765445,48.31893818
31-07-2024 00:18,Agri-Fusion,226.9172076,2.981470279,48.83405948
31-07-2024 00:20,Agri-Fusion,228.9586252,2.832927893,48.85363903
31-07-2024 00:22,Agri-Fusion,227.6444746,2.642989027,48.53621853
31-07-2024 00:24,Agri-Fusion,250,5,70
31-07-2024 00:26,Agri-Fusion,229.6279832,2.78268145,48.07842108
31-07-2024 00:28,Agri-Fusion,225.3551803,2.608380028,48.05046365
31-07-2024 00:30,Agri-Fusion,225.4356465,2.764646205,48.54310058
31-07-2024 00:32,Agri-Fusion,225.101092,2.795783454,48.92370688
31-07-2024 00:34,Agri-Fusion,229.1630992,2.69747115,49.45248656
31-07-2024 00:36,Agri-Fusion,228.8907838,2.8354556,48.9497434
31-07-2024 00:38,Agri-Fusion,229.3500607,2.901296048,49.80810164
31-07-2024 00:40,Agri-Fusion,229.8930917,2.69433369,48.07043961
31-07-2024 00:42,Agri-Fusion,228.9957928,2.84819996,48.36132124
31-07-2024 00:44,Agri-Fusion,227.3073968,2.855848897,48.67702899
31-07-2024 00:46,Agri-Fusion,228.9026459,2.97941612,49.15499238
31-07-2024 00:48,Agri-Fusion,225.5913721,2.911310467,49.70547232
31-07-2024 00:50,Agri-Fusion,228.1996051,2.939338108,48.7004039
31-07-2024 00:52,Agri-Fusion,225.7167664,2.796167963,48.53597737
31-07-2024 00:54,Agri-Fusion,229.7233446,2.674139435,48.12377834
31-07-2024 00:56,Agri-Fusion,227.6092416,2.998326117,49.64260696
31-07-2024 00:58,Agri-Fusion,227.0733097,2.651742304,48.75933289
31-07-2024 01:00,Agri-Fusion,226.3227781,2.788582928,49.14310039
31-07-2024 01:02,Agri-Fusion,228.8711684,2.62723724,49.96711084
31-07-2024 01:04,Agri-Fusion,227.2807517,2.977540343,48.00318914
31-07-2024 01:06,Agri-Fusion,227.8421697,2.985969976,48.29090028
31-07-2024 01:08,Agri-Fusion,225.093949,2.887755625,49.55822199
31-07-2024 01:10,Agri-Fusion,228.0881775,2.739997137,49.61025497
31-07-2024 01:12,Agri-Fusion,228.0604786,2.70175296,49.53849424
31-07-2024 01:14,Agri-Fusion,228.08467,2.70612133,49.07399778
31-07-2024 01:16,Agri-Fusion,229.7187404,2.65091761,49.95771396
31-07-2024 01:18,Agri-Fusion,228.4091015,2.810323581,48.79236912
31-07-2024 01:20,Agri-Fusion,226.7975395,2.65672691,49.2038874
31-07-2024 01:22,Agri-Fusion,227.1851598,2.726692267,48.12673801
31-07-2024 01:24,Agri-Fusion,228.488156,2.85068259,48.8197149
31-07-2024 01:26,Agri-Fusion,225.3011274,2.891017444,49.44500018
31-07-2024 01:28,Agri-Fusion,228.3338336,2.609709082,48.47747768
31-07-2024 01:30,Agri-Fusion,228.3531893,2.772046394,49.88765518
